country;year;quarter;vessel_length;fishing_tech;gear_type;target_assemblage;mesh_size_range;metier;supra_region;sub_region;eez_indicator;geo_indicator;specon_tech;deep;totseadays;totkwdaysatsea;totgtdaysatsea;totfishdays;totkwfishdays;totgtfishdays;hrsea;kwhrsea;gthrsea;totves;confidential
PSP;2016;1;NK;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;MBS;GSA99;NA;NGI;NK;NA;16;16;313.11;10.56;NA;10.56;NK;NK;NK;1;Y
PSP;2017;6;NK;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;MBS;GSA99;NA;NGI;NK;NA;223;223;313.11;263.85;NA;263.85;NK;NK;NK;16;N
PSP;2017;1;NK;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;313.11;0.85;NA;0.85;NK;NK;NK;1;Y
PSP;2017;7;VL2440;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;MBS;GSA99;NA;NGI;NK;NA;9;9;313.11;23.4;NA;23.4;55;1212.75;143;1;Y
PSP;2017;8;VL0006;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;MBS;GSA99;NA;NGI;NK;NA;207;207;313.11;1387.44;NA;1387.44;1463;80664.78;9641.87;23;N
PSP;2017;1;VL0612;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;MBS;GSA99;NA;NGI;NK;NA;4;4;313.11;23.23;202.86;23.23;38;1596.42;213.83;3;Y
PSP;2017;2;VL1218;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;MBS;GSA99;NA;NGI;NK;NA;6;6;313.11;42.63;376.32;42.63;31;2044.77;215.39;4;N
PSP;2017;3;VL1824;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;MBS;GSA99;NA;NGI;NK;NA;16;16;999.6;71.76;999.6;71.76;103;6864.9;471.51;2;Y
PSP;2018;1;VL2440;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;MBS;GSA99;NA;NGI;NK;NA;35;35;2058;212.8;2058;212.8;326;19168.8;1982.08;1;Y
PSP;2018;4;VL0006;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;MBS;GSA99;NA;NGI;NK;NA;41;41;2031.54;204.06;2058;204.06;314;16039.17;1534.57;4;N
PSP;2018;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;86;86;5707.275;598.56;2058;598.56;663;44698.29;4637.84;10;N
PSP;2018;5;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;54;54;3125.22;299.68;2058;299.68;384;22421.91;2153.96;5;N
PSP;2018;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;6;6;264.6;42.72;2058;42.72;46;2028.6;327.52;1;Y
PSP;2018;6;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;3;3;141.12;18.24;141.12;18.24;29;1364.16;176.32;1;Y
PSP;2018;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;99;99;6621.615;571.28;6621.615;571.28;899;59440.92;5163.2;12;N
PSP;2018;7;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;17;16;779.1;118.96;735;111.84;181;8246.7;1270;2;Y
PSP;2018;8;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;15;15;648.27;110.65;648.27;110.65;133;6584.13;933.9;5;N
PSP;2019;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;4;4;196.98;20.55;196.98;20.55;29;1289.19;167.67;3;Y
PSP;2019;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;2;2;143.325;15.12;143.325;15.12;12;893.025;88.04;2;Y
PSP;2019;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;5;5;220.5;35.6;220.5;35.6;64;2822.4;455.68;1;Y
PSP;2019;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;5;5;452.701;31.55;452.701;31.55;60;5154.996;369.01;3;Y
PSP;2019;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;61.74;5.94;61.74;5.94;5;308.7;29.7;1;Y
PSP;2019;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;58.8;6.08;58.8;6.08;8;470.4;48.64;1;Y
PSP;2019;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;53;53;2598.96;296.14;2598.96;296.14;298;14050.995;1699.7;2;Y
PSP;2019;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;33;31;1984.5;225.3;1874.25;207.5;320;18706.485;2396.01;9;N
PSP;2019;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;44.1;7.12;44.1;7.12;9;396.9;64.08;1;Y
PSP;2019;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;53;53;2735.67;316.99;2735.67;316.99;357;18009.705;2207.18;7;N
PSP;2020;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;3;3;121.275;11.04;121.275;11.04;23;929.775;84.64;1;Y
PSP;2020;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;33.075;3.53;33.075;3.53;3;99.225;10.59;1;Y
PSP;2020;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;58.8;7.69;58.8;7.69;5;294;38.45;1;Y
PSP;2020;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;12;12;808.5;91.98;808.5;91.98;86;5733;661.44;2;Y
PSP;2020;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;41;41;2410.8;315.29;2410.8;315.29;280;16464;2153.2;1;Y
PSP;2020;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;15;15;1024.59;112.53;1024.59;112.53;90;6041.7;681;3;Y
PSP;2020;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;14;14;327.075;37.48;327.075;37.48;92;2175.6;247.84;2;Y
PSP;2020;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;2;2;145.53;11.4;145.53;11.4;16;1164.24;91.2;1;Y
PSP;2020;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;46;46;2525.092;272.15;2525.092;272.15;320;16647.382;1770.61;5;N
PSP;2014;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;43;43;1150.275;123.68;1150.275;123.68;304;8375.325;888.68;2;Y
PSP;2014;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;20;20;1455.3;114;1455.3;114;151;10987.515;860.7;1;Y
PSP;2014;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;261;260;13746.337;2140.98;13713.262;2131.92;2147;108305.558;18061.35;20;N
PSP;2014;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;24;24;1411.2;100.08;1411.2;100.08;145;8526;604.65;1;Y
PSP;2014;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;110.25;8.53;110.25;8.53;4;441;34.12;1;Y
PSP;2014;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;77;77;3241.35;465.27;3241.35;465.27;662;30793.56;3925.78;14;N
PSP;2014;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;2;2;117.6;8.34;117.6;8.34;14;823.2;58.38;1;Y
PSP;2014;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;15;15;521.85;66.77;521.85;66.77;74;2499;325.32;2;Y
PSP;2015;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;532;522;32908.155;4112.41;32301.045;4033.41;4727;290327.94;34358;33;N
PSP;2015;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;12;12;676.185;56.44;676.185;56.44;80;4586.341;359.2;2;Y
PSP;2015;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;7;7;758.52;56.43;758.52;56.43;53;5750.64;429.13;2;Y
PSP;2015;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;80;80;4612.537;462.75;4612.537;462.75;604;36575.349;3510.53;14;N
PSP;2015;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;92;92;4196.585;575.57;4196.585;575.57;586;26951.083;3549.39;5;N
PSP;2015;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;17;17;1512.63;94.73;1512.63;94.73;106;9273.495;587.23;4;N
PSP;2016;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;278;273;17113.681;1821.71;16827.031;1777.2;2082;130644.751;14297.63;41;N
PSP;2016;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;58.8;7.69;58.8;7.69;5;294;38.45;1;Y
PSP;2016;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;88.2;6.83;88.2;NA;7;617.4;47.81;1;Y
PSP;2016;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;6;6;441;44.64;441;NA;18;1323;133.92;1;Y
PSP;2016;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;3;3;84.525;8.88;84.525;NA;21;628.425;64.32;2;Y
PSP;2016;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;47.04;6.08;47.04;NA;2;94.08;12.16;1;Y
PSP;2017;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;17;16;864.36;152.47;801.885;NA;193;9898.98;1821.53;7;N
PSP;2017;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;113;96;5745.495;709.03;4907.595;NA;1810;91285.53;10958.19;14;N
PSP;2017;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;6;6;338.1;36.18;338.1;NA;25;1304.625;140.89;3;Y
PSP;2017;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;12;12;1140.72;57.96;1140.72;NA;73;6935.46;351.75;2;Y
PSP;2017;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;36;33;2118.704;261.59;1931.279;NA;353;21342.548;2701.23;14;N
PSP;2017;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;73.5;7.44;73.5;NA;3;220.5;22.32;1;Y
PSP;2017;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;6;6;242.55;22.08;242.55;NA;61;2465.925;224.48;1;Y
PSP;2018;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;72.765;5.7;72.765;NA;8;582.12;45.6;1;Y
PSP;2018;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;12;12;669.585;77.13;669.585;NA;99;5599.965;613.65;4;N
PSP;2018;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;5;5;275.625;20.36;275.625;20.36;35;1929.375;142.52;2;Y
PSP;2018;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;29;29;1050.315;185.27;1050.315;185.27;136;4976.685;890.25;5;N
PSP;2018;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;2;2;102.893;11.54;102.893;11.54;11;587.971;58.67;2;Y
PSP;2018;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;13;13;624.383;69.59;624.383;69.59;73;3513.3;399.77;8;N
PSP;2018;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;110.25;8.53;110.25;8.53;4;441;34.12;1;Y
PSP;2018;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;11;11;776.16;89.65;776.16;89.65;76;5362.56;619.4;1;Y
PSP;2018;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;84;83;5156.025;523.06;5100.9;514.16;753;47117.175;4607.86;6;N
PSP;2019;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;55.125;5.73;55.125;5.73;7;385.875;40.11;1;Y
PSP;2019;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;25;25;1537.62;152.07;1537.62;152.07;256;15881.88;1551.44;3;Y
PSP;2019;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;136;136;9703.837;912.27;9703.837;912.27;1103;80931.585;7484.24;22;N
PSP;2019;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;23;23;1849.26;137.51;1849.26;137.51;244;19733.28;1447.94;3;Y
PSP;2019;2;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;5;4;275.625;41.33;220.5;32.43;48;2646;401.84;2;Y
PSP;2019;3;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;74.97;7.13;74.97;7.13;10;749.7;71.3;1;Y
PSP;2019;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;69.09;6.7;69.09;6.7;4;276.36;26.8;1;Y
PSP;2019;4;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;68.722;5.68;68.722;5.68;5;343.612;28.4;1;Y
PSP;2019;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;5;5;185.955;26.24;185.955;26.24;75;2830.485;362.48;2;Y
PSP;2019;5;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;10;10;513.765;55.28;513.765;55.28;141;6667.92;733.41;3;Y
PSP;2020;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;13;12;543.533;69.1;505.313;64.63;184;7311.412;880.97;6;N
PSP;2020;6;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;2;2;148.47;11.66;148.47;11.66;38;2820.93;221.54;1;Y
PSP;2020;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;11;11;549.78;69.3;549.78;69.3;91;4548.18;573.3;1;Y
PSP;2020;7;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;63;63;2199.855;278.48;2199.855;278.48;278;11302.095;1687.29;8;N
PSP;2020;8;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;29.4;6.39;29.4;6.39;13;382.2;83.07;1;Y
PSP;2020;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;162;162;4482.03;498.35;4482.03;498.35;8;764.4;82.4;12;N
PSP;2020;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;62;62;3088.47;425.87;3088.47;425.87;445;22235.22;3123.2;5;N
PSP;2020;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;43;43;2926.77;282.55;2926.77;282.55;327;24034.5;2318.43;2;Y
PSP;2020;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;63.945;6.79;63.945;6.79;8;511.56;54.32;1;Y
PSP;2014;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;22.05;1.92;22.05;1.92;NK;NK;NK;1;Y
PSP;2014;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;6;6;132.3;11.52;132.3;11.52;NK;NK;NK;1;Y
PSP;2014;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;27;27;2180.01;225.68;2180.01;225.68;193;16280.25;1673.32;3;Y
PSP;2014;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;24;24;834.225;72.15;834.225;72.15;NK;NK;NK;3;Y
PSP;2014;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;2;2;58.8;12.78;58.8;12.78;17;499.8;108.63;1;Y
PSP;2014;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;349;349;12830.16;2928.03;12830.16;2928.03;2936;109479.72;25210.78;11;N
PSP;2014;2;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;40;40;2205;325.6;2205;325.6;426;23483.25;3467.64;1;Y
PSP;2014;3;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;55;55;2425.5;578.6;2425.5;578.6;550;24255;5786;1;Y
PSP;2015;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;86;86;2915.01;654.38;2915.01;654.38;NK;NK;NK;2;Y
PSP;2015;4;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;113;113;3206.07;905.79;3206.07;905.79;264;9979.095;2432.58;9;N
PSP;2015;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;2;2;176.4;42.82;176.4;42.82;26;2293.2;556.66;1;Y
PSP;2015;5;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;26;26;759.255;301.77;759.255;301.77;226;6520.185;2636.26;4;N
PSP;2015;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;4;4;91.875;41.69;91.875;41.69;35;823.2;377.44;2;Y
PSP;2015;6;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;23;23;1396.5;115.39;1396.5;115.39;207;12480.3;999.55;2;Y
PSP;2016;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;141;141;7585.935;849.43;7585.935;849.43;1102;59023.44;6435.05;5;N
PSP;2016;7;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;46;46;3282.51;339.62;3282.51;339.62;678;48620.25;5079.38;2;Y
PSP;2016;8;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;7;7;316.05;38.13;316.05;38.13;51;2249.1;265.11;3;Y
PSP;2016;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;24;24;1305.36;209.52;1305.36;209.52;241;13107.99;2103.93;1;Y
PSP;2016;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;5;5;349.125;40.65;349.125;40.65;33;2304.225;268.29;1;Y
PSP;2016;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;7;7;488.775;56.91;488.775;56.91;48;3351.6;390.24;1;Y
PSP;2017;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;3;3;216.09;22.77;216.09;22.77;66;4753.98;500.94;1;Y
PSP;2017;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;69.825;8.13;69.825;8.13;7;488.775;56.91;1;Y
PSP;2017;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;69.825;9.04;69.825;9.04;5;349.125;45.2;1;Y
PSP;2017;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;MBS;GSA99;NA;NGI;NK;NA;1;1;69.825;8.13;69.825;8.13;7;488.775;56.91;1;Y
