country;year;quarter;vessel_length;fishing_tech;gear_type;target_assemblage;mesh_size_range;metier;domain_discards;domain_landings;supra_region;sub_region;eez_indicator;geo_indicator;nep_sub_region;specon_tech;deep;species;totwghtlandg;totvallandg;discards;confidential
PSP;2016;1;VL2440;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;CTG;NK;NK;NK;A
PSP;2016;5;VL0006;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;DXL;NK;NK;NK;A
PSP;2016;1;NK;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;KFA;NK;NK;NK;A
PSP;2017;6;NK;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;MUL;NK;NK;NK;A
PSP;2017;1;NK;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;MZZ;NK;NK;NK;A
PSP;2017;7;VL2440;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;NSQ;0.012;354.2174544;NK;A
PSP;2017;8;VL0006;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;OAL;0.003;354.2174544;NK;A
PSP;2017;1;VL0612;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;OCC;0.452;354.2174544;NK;N
PSP;2017;2;VL1218;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;PEE;0.014;354.2174544;NK;A
PSP;2017;3;VL1824;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;RAJ;0.003;354.2174544;NK;A
PSP;2018;1;VL2440;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SBG;0.014;354.2174544;NK;A
PSP;2018;4;VL0006;PMP;FPO;DEF;NA;FPO_DEF_0_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SLM;0.003;354.2174544;NK;A
PSP;2018;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;AMB;0.012;354.2174544;NK;A
PSP;2018;5;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;BBS;NA;354.2174544;NK;A
PSP;2018;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;BHD;NA;354.2174544;NK;A
PSP;2018;6;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;BON;NA;354.2174544;NK;N
PSP;2018;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;BPI;0.005;354.2174544;NK;A
PSP;2018;7;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;BRB;0.015;354.2174544;NK;A
PSP;2018;8;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;BSS;0.021;354.2174544;NK;N
PSP;2019;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;COE;0.004;354.2174544;NK;A
PSP;2019;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;CTB;0.044;354.2174544;NK;A
PSP;2019;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;CTC;0.015;354.2174544;NK;A
PSP;2019;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;DEC;0.02;354.2174544;NK;A
PSP;2019;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;FOR;0.012;354.2174544;NK;A
PSP;2019;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;GBR;0.002;354.2174544;NK;A
PSP;2019;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;GPD;0.002;354.2174544;NK;A
PSP;2019;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;HKE;0.013;354.2174544;NK;A
PSP;2019;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;HMM;0.032;354.2174544;NK;A
PSP;2019;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;HMY;0.022;47.27791967;NK;A
PSP;2020;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;HOM;0.028;22.82544948;NK;A
PSP;2020;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;JRS;0.019;46.06639165;NK;A
PSP;2020;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;MGR;0.013;56.43815057;NK;A
PSP;2020;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;MIA;0.015;163.4500756;NK;A
PSP;2020;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;MLR;0.036;26.75668639;NK;A
PSP;2020;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;MNZ;0.021;110.7201373;NK;A
PSP;2020;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;MUL;0.162;164.0283686;NK;A
PSP;2020;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;MYL;0.001;0.700202624;NK;A
PSP;2020;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;MZZ;0.195;500.9735632;NK;N
PSP;2014;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;OCC;0.05;238.8465876;NK;N
PSP;2014;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;PAC;0.441;1853.630264;NK;N
PSP;2014;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;RPG;0.075;817.9778131;NK;N
PSP;2014;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SBA;2.024;5903.776265;NK;N
PSP;2014;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SBG;0.035;348.0114137;NK;A
PSP;2014;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SBS;0.015;33.90027293;NK;A
PSP;2014;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SBZ;0.01;92.51100749;NK;N
PSP;2014;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SCR;0.002;19.13598345;NK;A
PSP;2015;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SCS;0.077;664.5745054;NK;A
PSP;2015;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SHR;0.081;363.6860166;NK;A
PSP;2015;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SKH;0.008;15.56455422;NK;A
PSP;2015;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SLM;0.287;261.6191592;NK;A
PSP;2015;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SPU;0.093;315.2340604;NK;N
PSP;2015;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SQC;0.001;9.623369392;NK;A
PSP;2016;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SRG;0.116;428.8020072;NK;N
PSP;2016;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SSB;0.22;1110.466309;NK;N
PSP;2016;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SWA;0.104;593.6922253;NK;N
PSP;2016;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;TUR;0.008;120.4417299;NK;A
PSP;2016;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;UUC;0.001;3.940776019;NK;A
PSP;2016;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;VMA;0.038;0;NK;A
PSP;2017;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;WEG;0.004;5.793496472;NK;A
PSP;2017;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;YRS;0.035;45.37474157;NK;A
PSP;2017;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;AMB;0.001;8.799719008;NK;A
PSP;2017;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;BBS;0.011;48.26800969;NK;A
PSP;2017;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;BRB;0.028;72.19781057;NK;A
PSP;2017;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;CBM;0.003;23.31857824;NK;A
PSP;2017;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;CTB;0.009;34.83419328;NK;A
PSP;2018;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;DEC;0.005;54.7723748;NK;A
PSP;2018;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;DOL;0.002;9.933796047;NK;A
PSP;2018;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;DPX;0;0;0.241;N
PSP;2018;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;DYL;0;0;0.65;N
PSP;2018;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;FOX;0;0;0.06;N
PSP;2018;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;FRI;0.359;5086.562645;NK;A
PSP;2018;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;JOD;0.91;12893.51534;NK;N
PSP;2018;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;MMH;0.261;779.8609061;NK;A
PSP;2018;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;MZZ;33.702;40368.91673;NK;N
PSP;2019;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;RAJ;0.177;881.7612384;NK;A
PSP;2019;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;RPG;0.071;292.4512062;NK;A
PSP;2019;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;RSE;0.115;1175.794023;NK;A
PSP;2019;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SBG;0.189;514.5930491;NK;A
PSP;2019;2;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SCS;0.001;4.341396198;NK;A
PSP;2019;3;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SMD;10.284;49125.96615;NK;N
PSP;2019;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SWA;0.111;633.652279;NK;A
PSP;2019;4;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SYC;0.038;44.03067053;NK;A
PSP;2019;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;UUC;0.014;143.1401419;NK;A
PSP;2019;5;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;WRX;0.019;107.0110469;NK;N
PSP;2020;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;AMB;0.002;34.59646299;NK;A
PSP;2020;6;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;ANN;0.025;354.2174544;NK;A
PSP;2020;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;ATB;0.002;2.097645357;NK;A
PSP;2020;7;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;BBS;0.003;3.037562381;NK;A
PSP;2020;8;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;BLL;0.002;5.138190392;NK;A
PSP;2020;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;BON;0.012;41.38052667;NK;A
PSP;2020;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;BOQ;0.003;43.34656988;NK;A
PSP;2020;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;BOY;0.452;2159.173152;NK;N
PSP;2020;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;BRB;0.014;47.6957332;NK;A
PSP;2014;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;BRF;0.003;5.374408768;NK;A
PSP;2014;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;BSS;0.014;139.2045655;NK;A
PSP;2014;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;CBM;0.003;2.734695044;NK;A
PSP;2014;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;CBR;0.012;105.5966281;NK;A
PSP;2014;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;CIL;0.025;105.5966281;NK;A
PSP;2014;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;CMR;0.012;105.5966281;NK;A
PSP;2014;2;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;COE;0.038;105.5966281;NK;N
PSP;2014;3;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;CTB;0.005;105.5966281;NK;A
PSP;2015;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;CTG;0.015;105.5966281;NK;A
PSP;2015;4;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;DEC;0.021;105.5966281;NK;N
PSP;2015;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;DXL;0.004;105.5966281;NK;A
PSP;2015;5;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;EEA;0.044;105.5966281;NK;A
PSP;2015;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;ELE;0.015;105.5966281;NK;A
PSP;2015;6;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;FOR;0.02;105.5966281;NK;A
PSP;2016;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;GPD;0.012;105.5966281;NK;A
PSP;2016;7;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;HKE;0.002;105.5966281;NK;A
PSP;2016;8;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;HMY;0.002;105.5966281;NK;A
PSP;2016;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;IOD;0.013;105.5966281;NK;A
PSP;2016;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;JAX;0.032;105.5966281;NK;A
PSP;2016;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;JOD;0.022;105.5966281;NK;A
PSP;2017;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;KFA;0.028;105.5966281;NK;A
PSP;2017;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;MMH;0.019;105.5966281;NK;A
PSP;2017;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;MNZ;0.013;105.5966281;NK;A
PSP;2017;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;MON;0.015;105.5966281;NK;A
PSP;2017;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;MUL;0.036;105.5966281;NK;A
PSP;2017;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;MZZ;0.021;105.5966281;NK;A
PSP;2017;1;NK;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;NSQ;0.162;105.5966281;NK;A
PSP;2018;1;NK;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;OCC;0.001;105.5966281;NK;A
PSP;2018;1;NK;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;PAC;0.195;105.5966281;NK;N
PSP;2018;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;QPX;0.05;105.5966281;NK;N
PSP;2018;1;VL1218;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;RAJ;0.441;105.5966281;NK;N
PSP;2018;1;VL1824;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;RPG;0.075;105.5966281;NK;N
PSP;2018;1;VL2440;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;RSE;2.024;5903.776265;NK;N
PSP;2018;1;VL0006;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SBA;0.035;348.0114137;NK;A
PSP;2018;1;VL0612;PMP;GNS;DEF;NK;GNS_DEF_>=16_0_0;NK;NK;MBS;GSA99;NA;NGI;NA;NK;NA;SBG;0.015;33.90027293;NK;A
