country;year;quarter;vessel_length;fishing_tech;gear_type;target_assemblage;mesh_size_range;metier;supra_region;sub_region;eez_indicator;geo_indicator;specon_tech;deep;rectangle_type;rectangle_lat;rectangle_lon;c_square;totfishdays;confidential
ITA;2017;7;VL2440;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;2;N
ITA;2017;8;VL0006;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2017;1;VL0612;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;10;N
ITA;2017;2;VL1218;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2017;3;VL1824;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2018;1;VL2440;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2018;4;VL0006;PMP;FPO;NA;DEF;FPO_DEF_0_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2018;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;3;N
ITA;2018;5;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2018;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2018;6;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2018;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;8;N
ITA;2018;7;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2018;8;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2019;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2019;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2019;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1.007;N
ITA;2019;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1.008;N
ITA;2019;1;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1.006;N
ITA;2019;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1.008;N
ITA;2019;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2019;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2019;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;29;N
ITA;2019;1;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2020;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;NAO;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;2;N
ITA;2020;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;3;N
ITA;2020;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;5;N
ITA;2020;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;4;N
ITA;2020;1;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;14;N
ITA;2020;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;3;N
ITA;2020;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2020;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;11;N
ITA;2020;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;16;N
ITA;2014;1;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;2;N
ITA;2014;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2014;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;21;N
ITA;2014;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2014;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;12;N
ITA;2014;1;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;2;N
ITA;2014;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;DEEP;05*05;NA;NA;1000:100:1;1;N
ITA;2014;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;DEEP;05*05;NA;NA;1000:100:1;10;N
ITA;2015;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2015;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2015;1;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2015;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2015;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;DEEP;05*05;NA;NA;1000:100:1;3;N
ITA;2015;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2016;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;DEEP;05*05;NA;NA;1000:100:1;1;N
ITA;2016;1;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;23;N
ITA;2016;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;5;N
ITA;2016;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;148;N
ITA;2016;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;4;N
ITA;2016;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;32;N
ITA;2017;1;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;18;N
ITA;2017;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;3;N
ITA;2017;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;4;N
ITA;2017;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;130;N
ITA;2017;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;3;N
ITA;2017;1;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;8;N
ITA;2017;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2018;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;DEEP;05*05;NA;NA;1000:100:1;3;N
ITA;2018;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;16;N
ITA;2018;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;10;N
ITA;2018;1;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;140;N
ITA;2018;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;20;N
ITA;2018;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;7;N
ITA;2018;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;8;N
ITA;2018;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;2;N
ITA;2018;1;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;2;N
ITA;2019;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;138;N
ITA;2019;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;7;N
ITA;2019;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;25;N
ITA;2019;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;2;N
ITA;2019;2;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2019;3;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;1;N
ITA;2019;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;5;N
ITA;2019;4;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:1;2;N
ITA;2019;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:2;1.411;N
ITA;2019;5;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:2;1.006;N
ITA;2020;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:2;1.008;N
ITA;2020;6;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:2;20;N
ITA;2020;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:2;1;N
ITA;2020;7;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:2;1;N
ITA;2020;8;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:2;6;N
ITA;2020;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:2;17;N
ITA;2020;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:2;1;N
ITA;2020;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:2;1;N
ITA;2020;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:2;2;N
ITA;2014;1;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:2;16.99;N
ITA;2014;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:2;1;N
ITA;2014;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:3;1.004;N
ITA;2014;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:3;1.007;N
ITA;2014;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:3;1.008;N
ITA;2014;1;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:3;1.007;N
ITA;2014;2;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:3;1.006;N
ITA;2014;3;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:3;0.369;N
ITA;2015;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:3;3.023;N
ITA;2015;4;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:3;6;N
ITA;2015;1;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:3;3;N
ITA;2015;5;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:3;1;N
ITA;2015;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:3;2;N
ITA;2015;6;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:3;1;N
ITA;2016;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:3;7;N
ITA;2016;7;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:3;7;N
ITA;2016;8;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:3;3;N
ITA;2016;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:3;1;N
ITA;2016;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:4;1.007;N
ITA;2016;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:4;2.53;N
ITA;2017;1;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:4;1.008;N
ITA;2017;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:4;1.008;N
ITA;2017;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:100:4;0.402;N
ITA;2017;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:4;1;N
ITA;2017;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:4;7;N
ITA;2017;1;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:4;4;N
ITA;2017;1;NK;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:4;6;N
ITA;2018;1;NK;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:4;3;N
ITA;2018;1;NK;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:4;2;N
ITA;2018;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:4;1;N
ITA;2018;1;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:4;1;N
ITA;2018;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:4;2;N
ITA;2018;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:4;2;N
ITA;2018;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:4;1;N
ITA;2018;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:4;1;N
ITA;2018;1;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:4;5;N
ITA;2019;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:4;2;N
ITA;2019;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:4;5;N
ITA;2019;1;VL0006;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;MBS;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:100:4;1;N
ITA;2019;1;VL0612;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:101:1;1.006;N
ITA;2019;1;VL1218;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:101:1;0.614;N
ITA;2019;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NA;NA;05*05;NA;NA;1000:101:1;1.008;N
ITA;2019;1;VL2440;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:101:1;4;N
ITA;2019;1;NK;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:101:1;2;N
ITA;2019;1;NK;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:101:1;1.007;N
ITA;2019;1;NK;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:101:1;1.008;N
ITA;2020;1;VL1824;PMP;GNS;NK;DEF;GNS_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:101:1;1.006;N
ITA;2020;1;VL2440;PMP;GNS;NK;DEF;GTR_DEF_>=16_0_0;OFR;GSA99;NK;NK;NK;NA;05*05;NA;NA;1000:101:1;1.008;N
