Sampling_type;Flag_country;Year;Trip_code;Harbour;Number_of_sets_hauls_on_trip;Days_at_sea;Sampling.method;Aggregation_level;Station_number;Duration_of_fishing_operation;Initial_latitude;Initial_longitude;Final_latitude;Final_longitude;Depth_of_fishing_operation;Water_depth;Catch_registration;Species_registration;Date;Area;Fishing_activity_category_National;Fishing_activity_category_European_lvl_6;Species;Catch_category;Weight;Subsample_weight;Sex;Maturity_method;Maturity_scale;Maturity_Stage;Ageing.method;Age;Length_code;Length_class;Number_at_length;Commercial_size_category_scale;Commercial_size_category;fish_ID;Individual_weight
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2b;OWR;NA;scm;190;7;ITA;1;NA;90.2252854
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2c;OWR;NA;scm;190;4;ITA;1;NA;43.11005812
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2b;OWR;3.5;scm;195;3;ITA;1;NA;52.7833332
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2b;OWR;NA;scm;195;6;ITA;1;NA;50.75962855
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2c;OWR;NA;scm;195;1;ITA;1;NA;120.4105034
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2b;OWR;3.5;scm;200;2;ITA;1;NA;116.472948
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2c;OWR;3.5;scm;200;2;ITA;1;NA;67.29821316
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2b;OWR;NA;scm;200;4;ITA;1;NA;75.76099536
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2c;OWR;3.5;scm;205;2;ITA;1;NA;145.2485019
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2b;OWR;4.5;scm;205;2;ITA;1;NA;88.94916027
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2b;OWR;NA;scm;205;1;ITA;1;NA;86.77818004
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2b;OWR;4.5;scm;210;1;ITA;1;NA;144.3788609
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2b;OWR;4.5;scm;215;1;ITA;1;NA;55.98368307
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2c;OWR;4.5;scm;215;1;ITA;1;NA;109.9670301
S;ITA;2016;01_18_2016;ITMOL;4;1;SelfSampling;TRUE;999;960;42.04033;18.48217;42.09067;18.48483;113;NA;Lan;All;18/02/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;18000;6000;F;Macr;Medits scale;2c;OWR;5.5;scm;230;1;ITA;1;NA;150.2003941
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;F;Macr;Medits scale;2a;OWR;NA;scm;115;1;ITA;1;NA;10.95465835
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;M;Macr;Medits scale;2c;OWR;NA;scm;120;1;ITA;1;NA;33.36726191
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;F;Macr;Medits scale;2b;OWR;NA;scm;125;2;ITA;1;NA;16.95339186
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;F;Macr;Medits scale;2b;OWR;NA;scm;130;11;ITA;1;NA;34.63743798
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;M;Macr;Medits scale;2b;OWR;NA;scm;130;1;ITA;1;NA;24.65803533
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;F;Macr;Medits scale;2b;OWR;NA;scm;135;11;ITA;1;NA;22.15567645
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;F;Macr;Medits scale;2c;OWR;NA;scm;135;1;ITA;1;NA;30.26845911
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;M;Macr;Medits scale;2c;OWR;NA;scm;135;1;ITA;1;NA;20.53332716
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;F;Macr;Medits scale;2b;OWR;NA;scm;140;14;ITA;1;NA;46.68378933
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;F;Macr;Medits scale;2b;OWR;NA;scm;145;10;ITA;1;NA;33.57520647
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;M;Macr;Medits scale;2b;OWR;NA;scm;145;1;ITA;1;NA;52.94619232
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;M;Macr;Medits scale;2c;OWR;NA;scm;145;1;ITA;1;NA;41.17276075
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;F;Macr;Medits scale;2b;OWR;NA;scm;150;8;ITA;1;NA;56.12480576
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;M;Macr;Medits scale;2c;OWR;NA;scm;150;1;ITA;1;NA;54.14156617
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;F;Macr;Medits scale;2b;OWR;NA;scm;155;3;ITA;1;NA;49.04531294
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;F;Macr;Medits scale;2b;OWR;NA;scm;160;5;ITA;1;NA;29.54709369
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;F;Macr;Medits scale;2b;OWR;NA;scm;165;4;ITA;1;NA;70.94777167
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;F;Macr;Medits scale;2c;OWR;NA;scm;170;1;ITA;1;NA;55.19839757
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;F;Macr;Medits scale;2b;OWR;NA;scm;175;3;ITA;1;NA;58.09743405
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;F;Macr;Medits scale;2c;OWR;NA;scm;175;1;ITA;1;NA;64.04055473
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;F;Macr;Medits scale;2b;OWR;NA;scm;180;1;ITA;1;NA;67.5917889
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;F;Macr;Medits scale;2c;OWR;NA;scm;185;1;ITA;1;NA;41.53260293
S;ITA;2017;01_18_2017;ITBCE;5;1;SelfSampling;TRUE;999;1200;40.28817;18.4525;40.31167;18.441;65;NA;Lan;All;08/02/2017;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;3100;3100;F;Macr;Medits scale;2c;OWR;4.5;scm;210;1;ITA;1;NA;148.1711888
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;2c;OWR;NA;scm;155;1;ITA;1;NA;34.83645805
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;2c;OWR;NA;scm;160;3;ITA;1;NA;32.10085457
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;M;Macr;Medits scale;3;OWR;NA;scm;165;1;ITA;1;NA;36.61818159
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;2c;OWR;NA;scm;170;2;ITA;1;NA;36.3599039
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;3;OWR;NA;scm;170;1;ITA;1;NA;55.16560551
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;2b;OWR;NA;scm;175;1;ITA;1;NA;47.9835764
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;2c;OWR;NA;scm;175;5;ITA;1;NA;81.98529918
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;3;OWR;NA;scm;175;3;ITA;1;NA;63.51530049
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;M;Macr;Medits scale;3;OWR;3.5;scm;180;1;ITA;1;NA;52.08653624
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;2c;OWR;NA;scm;180;5;ITA;1;NA;54.15715222
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;3;OWR;NA;scm;180;4;ITA;1;NA;57.90792957
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;M;Macr;Medits scale;3;OWR;4.5;scm;185;1;ITA;1;NA;54.90630035
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;2c;OWR;NA;scm;185;9;ITA;1;NA;50.32663611
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;3;OWR;NA;scm;185;9;ITA;1;NA;107.3639314
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;2c;OWR;NA;scm;190;3;ITA;1;NA;108.4043379
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;3;OWR;NA;scm;190;3;ITA;1;NA;74.46072285
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;2c;OWR;NA;scm;195;7;ITA;1;NA;94.37575542
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;3;OWR;NA;scm;195;2;ITA;1;NA;73.55435824
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;2c;OWR;NA;scm;200;3;ITA;1;NA;67.09135732
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;3;OWR;NA;scm;200;2;ITA;1;NA;76.55620396
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;2c;OWR;NA;scm;205;2;ITA;1;NA;92.39084693
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;3;OWR;NA;scm;205;2;ITA;1;NA;112.9346047
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;3;OWR;4.5;scm;210;1;ITA;1;NA;98.92400652
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;3;OWR;4.5;scm;215;1;ITA;1;NA;131.3389927
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;2c;OWR;4.5;scm;220;1;ITA;1;NA;147.4967764
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;3;OWR;4.5;scm;220;1;ITA;1;NA;117.8714891
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;2c;OWR;5.5;scm;220;1;ITA;1;NA;163.4537863
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;2c;OWR;4.5;scm;225;2;ITA;1;NA;195.6557265
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;3;OWR;4.5;scm;225;1;ITA;1;NA;209.2891412
S;ITA;2016;02_18_2016;ITMOL;8;2;Observer;TRUE;999;2052;40.58517;18.27417;40.60467;18.2555;165;NA;All;All;21/03/2016;GSA99;OTB_shelf;OTB_DEF_>=40_0_0;Mullus barbatus;Lan;19200;6400;F;Macr;Medits scale;2c;OWR;5.5;scm;235;1;ITA;1;NA;112.8104893
